"CAL","F1","F2","LON"
1.93584210526316,2.19095,1.71286176470588,1.72636842105263
2.08726315789474,2.052925,1.70072941176471,1.78905263157895
2.01484210526316,1.974075,1.7279,1.88405263157895
2.06710526315789,2.102875,1.69349705882353,1.83573684210526
1.86210526315789,1.984175,1.75990294117647,1.65589473684211
1.97231578947368,2.021225,1.76030882352941,1.98947368421053
2.01226315789474,2.027525,1.73725,1.62878947368421
2.05868421052632,2.061625,1.72223235294118,1.68573684210526
2.07115789473684,2.1514,1.69911176470588,1.80331578947368
2.02,2.05455,1.76257647058824,1.82715789473684
2.07847368421053,2.104525,1.65603529411765,1.916
2.07378947368421,2.076275,1.772,1.77968421052632
2.08147368421053,2.03465,1.77841470588235,1.93947368421053
2.11836842105263,2.08035,1.72918823529412,1.76863157894737
2.05752631578947,2.038425,1.73788823529412,1.70731578947368
2.08026315789474,2.057475,1.68828823529412,1.878
1.86984210526316,1.999075,1.76036470588235,1.93510526315789
1.98868421052632,2.086075,1.70754117647059,1.75421052631579
2.05610526315789,2.111625,1.72925294117647,1.78357894736842
2.00268421052632,2.004275,1.73630882352941,1.99394736842105
2.013,2.18305,1.69212352941176,1.79726315789474
1.95963157894737,2.14605,1.75577352941176,1.73152631578947
2.03542105263158,2.096575,1.72615588235294,1.86610526315789
1.994,2.0745,1.74589117647059,2.08094736842105
1.87368421052632,1.94685,1.71267352941176,1.68163157894737
2.03421052631579,2.22595,1.72343529411765,1.83657894736842
2.103,2.1162,1.78286764705882,1.70526315789474
2.02468421052632,1.954875,1.74128529411765,1.97252631578947
2.08994736842105,1.90695,1.74417058823529,1.85015789473684
1.97105263157895,2.1107,1.74741764705882,1.784
1.98521052631579,2.0582,1.73054705882353,1.74836842105263
2.04394736842105,2.007075,1.74105882352941,1.61836842105263
2.03973684210526,1.99245,1.74986764705882,1.98310526315789
1.93,1.951225,1.72695,1.78236842105263
2.12652631578947,2.0815,1.72441470588235,1.72947368421053
2.06894736842105,2.144,1.75106470588235,1.85436842105263
2.07068421052632,2.047225,1.73684411764706,1.96578947368421
2.12,2.24175,1.70293823529412,1.83884210526316
1.97384210526316,2.044825,1.71508823529412,1.69484210526316
2.057,1.981125,1.78833529411765,1.89952631578947
1.99452631578947,2.05545,1.73623529411765,1.84010526315789
2.12842105263158,2.257,1.73442647058824,2.00278947368421
1.89789473684211,2.022075,1.73203235294118,1.75642105263158
2.01031578947368,2.091475,1.71251470588235,2.06957894736842
1.99636842105263,2.16445,1.70946176470588,1.767
1.96873684210526,1.978075,1.71685,1.98842105263158
1.95568421052632,2.11385,1.68788823529412,1.55726315789474
1.94594736842105,1.891175,1.71358529411765,1.76247368421053
2.00731578947368,1.96835,1.70797647058824,1.70110526315789
2.00678947368421,2.153975,1.71024705882353,1.85394736842105
2.04063157894737,2.064625,1.74396764705882,1.68542105263158
